"t","R","S","I","psi"
"18.9608577361227","172","19510","318","3"
"18.9668791000505","172","19509","319","3"
"18.9671049610929","172","19508","320","3"
"18.9734685900928","172","19507","321","3"
"18.9737467327482","172","19506","322","3"
"18.9739247977815","172","19505","323","3"
"18.9840907798334","173","19505","322","3"
"18.9990028793764","173","19504","323","3"
"19.0048294851154","173","19503","324","3"
"19.0081943448984","173","19502","325","3"
"19.0094748288818","174","19502","324","3"
"19.0109969800236","175","19502","323","3"
"19.0253396544922","175","19501","324","3"
"19.0410243120197","175","19500","325","3"
"19.0527350769458","176","19500","324","3"
"19.0626169562911","177","19500","323","3"
"19.0641047592771","177","19499","324","3"
"19.0674128614193","177","19498","325","3"
"19.0758221540376","177","19497","326","3"
"19.0784705817153","177","19496","327","3"
"19.079716065427","177","19495","328","3"
"19.0800848743338","177","19494","329","3"
"19.1062515911932","177","19493","330","3"
"19.108827902624","177","19492","331","3"
"19.1095257143993","177","19491","332","3"
"19.1140350126747","177","19490","333","3"
"19.1378195993478","177","19489","334","3"
"19.1380684086697","177","19488","335","3"
"19.1435269370064","177","19487","336","3"
"19.1449962309948","177","19486","337","3"
"19.1473101147828","177","19485","338","3"
"19.1477667260282","178","19485","337","3"
"19.1498583700371","178","19484","338","3"
"19.176848536362","178","19483","339","3"
"19.1789405755737","178","19482","340","3"
"19.1793650412237","179","19482","339","3"
"19.2027832579333","179","19481","340","3"
"19.2089208208947","179","19480","341","3"
"19.2098016863506","179","19479","342","3"
"19.2183153454467","180","19479","341","3"
"19.2203345898497","181","19479","340","3"
"19.2252728135784","181","19478","341","3"
"19.2272487758188","181","19478","341","4"
"19.2333893235574","181","19477","342","4"
"19.236314795794","181","19476","343","4"
"19.2632986195681","182","19476","342","4"
"19.2637632254094","182","19475","343","4"
"19.2702413952806","183","19475","342","4"
"19.273105606329","183","19474","343","4"
"19.2763101069868","183","19473","344","4"
"19.2773406532874","183","19472","345","4"
"19.2818869561622","183","19471","346","4"
"19.2914993086574","183","19470","347","4"
"19.3003453613339","184","19470","346","4"
"19.3034209361097","185","19470","345","4"
"19.3061623010764","185","19469","346","4"
"19.306615751687","185","19468","347","4"
"19.315637025507","185","19467","348","4"
"19.3170920358251","185","19466","349","4"
"19.3246176401012","186","19466","348","4"
"19.3342111881345","186","19465","349","4"
"19.337736587515","186","19464","350","4"
"19.3395775925561","186","19463","351","4"
"19.3454934909029","186","19462","352","4"
"19.3730985675837","187","19462","351","4"
"19.3819233148165","187","19461","352","4"
"19.3822679268497","187","19460","353","4"
"19.3847020026184","187","19459","354","4"
"19.4187791230758","187","19458","355","4"
"19.4197295217976","187","19457","356","4"
"19.4205007830554","188","19457","355","4"
"19.4223337622369","188","19456","356","4"
