"t","S","E","I","R","psi","Total"
"23.2431162914101","19757","111","75","49","8","20000"
"23.2450357431046","19757","111","74","50","8","20000"
"23.2574221331158","19757","111","73","51","8","20000"
"23.2612900397392","19756","112","73","51","8","20000"
"23.2919013758959","19756","111","74","51","8","20000"
"23.2936275881654","19756","110","75","51","8","20000"
"23.3035368272906","19755","111","75","51","8","20000"
"23.3045619098928","19754","112","75","51","8","20000"
"23.3253786652691","19754","111","76","51","8","20000"
"23.3359418765014","19753","112","76","51","8","20000"
"23.4080254023277","19752","113","76","51","8","20000"
"23.414464358647","19751","114","76","51","8","20000"
"23.4197867910197","19751","113","77","51","8","20000"
"23.4571680082778","19751","113","76","52","8","20000"
"23.4730310338192","19750","114","76","52","8","20000"
"23.4789286510185","19750","113","77","52","8","20000"
"23.4850451871711","19749","114","77","52","8","20000"
"23.5040428571862","19749","114","76","53","8","20000"
"23.5180261209608","19749","113","77","53","8","20000"
"23.5334508927838","19749","113","76","54","8","20000"
"23.5414220687992","19748","114","76","54","8","20000"
"23.5433785220168","19748","113","77","54","8","20000"
"23.5548740307935","19747","114","77","54","8","20000"
"23.554902584322","19746","115","77","54","8","20000"
"23.5776725263455","19745","116","77","54","8","20000"
"23.587482049837","19744","117","77","54","8","20000"
"23.591092664729","19743","118","77","54","8","20000"
"23.6341033227554","19742","119","77","54","8","20000"
"23.6493057056927","19741","120","77","54","8","20000"
"23.6494865839927","19740","121","77","54","8","20000"
"23.6540341337091","19740","121","76","55","8","20000"
"23.6573360421526","19740","121","75","56","8","20000"
"23.6634639197556","19740","120","76","56","8","20000"
"23.6921244634052","19739","121","76","56","8","20000"
"23.6998531077413","19738","122","76","56","8","20000"
"23.7007870616098","19738","121","77","56","8","20000"
"23.7031824827507","19738","120","78","56","8","20000"
"23.7097074279766","19737","121","78","56","8","20000"
"23.7150580080174","19737","121","77","57","8","20000"
"23.7172086912549","19737","121","76","58","8","20000"
"23.7305542617657","19737","121","75","59","8","20000"
"23.7382171358255","19736","122","75","59","8","20000"
"23.7509021084184","19735","123","75","59","8","20000"
"23.762150018006","19734","124","75","59","8","20000"
"23.7782558656476","19734","123","76","59","8","20000"
"23.7786996163126","19734","122","77","59","8","20000"
"23.790923915498","19734","122","76","60","8","20000"
"23.7973991160001","19733","123","76","60","8","20000"
"23.797906260561","19732","124","76","60","8","20000"
"23.8157831111645","19732","123","77","60","8","20000"
"23.8211452977902","19731","124","77","60","8","20000"
"23.8293158706189","19730","125","77","60","8","20000"
"23.8311314970556","19729","126","77","60","8","20000"
"23.837311667155","19728","127","77","60","8","20000"
"23.8393644993124","19728","126","78","60","8","20000"
"23.8565029412179","19727","127","78","60","8","20000"
"23.8910098952849","19727","126","79","60","8","20000"
"23.8961492665546","19726","127","79","60","8","20000"
"23.9357609969338","19725","128","79","60","8","20000"
"23.9396917063285","19724","129","79","60","8","20000"
"23.9628225910887","19724","129","78","60","9","20000"
"23.9709928526577","19723","130","78","60","9","20000"
"23.9748892540604","19722","131","78","60","9","20000"
"23.9985789558509","19722","131","77","61","9","20000"
"24.04456646016","19721","132","77","61","9","20000"
"24.0506408748425","19721","131","78","61","9","20000"
"24.0562324271918","19720","132","78","61","9","20000"
"24.069441517758","19720","131","79","61","9","20000"
"24.0875718179301","19719","132","79","61","9","20000"
"24.1088330491312","19719","131","80","61","9","20000"
"24.1160537003785","19719","130","81","61","9","20000"
"24.1234069829779","19718","131","81","61","9","20000"
"24.1344763206492","19717","132","81","61","9","20000"
"24.1431628116554","19716","133","81","61","9","20000"
"24.1597311566226","19716","132","82","61","9","20000"
"24.1824637230226","19715","133","82","61","9","20000"
"24.2040021634109","19714","134","82","61","9","20000"
"24.2161117594287","19713","135","82","61","9","20000"
"24.2167154667128","19713","135","81","62","9","20000"
"24.2350172218422","19712","136","81","62","9","20000"
"24.2355628911768","19711","137","81","62","9","20000"
"24.2520232474684","19710","138","81","62","9","20000"
"24.2533598858401","19710","138","80","63","9","20000"
"24.2564083898983","19709","139","80","63","9","20000"
"24.2647116239467","19709","138","81","63","9","20000"
"24.2651538409581","19708","139","81","63","9","20000"
"24.2707551512005","19707","140","81","63","9","20000"
"24.2987273391776","19706","141","81","63","9","20000"
"24.3096854139174","19705","142","81","63","9","20000"
"24.3542529266794","19705","141","82","63","9","20000"
"24.3557554516576","19704","142","82","63","9","20000"
"24.3736701124961","19704","141","83","63","9","20000"
"24.3814512660483","19703","142","83","63","9","20000"
"24.3822613256309","19702","143","83","63","9","20000"
"24.39293508668","19702","142","84","63","9","20000"
"24.3940780602856","19701","143","84","63","9","20000"
"24.4054762483896","19701","142","85","63","9","20000"
"24.4097151981438","19701","141","86","63","9","20000"
"24.4162863581255","19701","140","87","63","9","20000"
"24.4336006755323","19701","140","86","64","9","20000"
"24.4467704693036","19700","141","86","64","9","20000"
"24.4680868786611","19700","141","85","65","9","20000"
"24.47906384953","19699","142","85","65","9","20000"
"24.5090650553318","19699","141","86","65","9","20000"
"24.5099099480311","19698","142","86","65","9","20000"
"24.5178130308193","19698","142","85","66","9","20000"
"24.5232868920455","19698","141","86","66","9","20000"
"24.5265497521658","19698","140","87","66","9","20000"
"24.5278837151142","19697","141","87","66","9","20000"
"24.5350450057088","19696","142","87","66","9","20000"
"24.5471913366271","19696","142","86","67","9","20000"
"24.5552705264409","19696","141","87","67","9","20000"
"24.5628596851421","19696","140","88","67","9","20000"
"24.5877111005316","19696","140","87","67","10","20000"
"24.6058242004898","19696","139","88","67","10","20000"
"24.60657041747","19695","140","88","67","10","20000"
"24.6318996928858","19694","141","88","67","10","20000"
"24.6356971494067","19693","142","88","67","10","20000"
"24.6361178981891","19692","143","88","67","10","20000"
"24.6670362191165","19691","144","88","67","10","20000"
"24.6682922608835","19690","145","88","67","10","20000"
"24.6913271206847","19689","146","88","67","10","20000"
"24.7051319721627","19689","146","87","68","10","20000"
"24.7391314875297","19689","145","88","68","10","20000"
"24.7504502684122","19689","144","89","68","10","20000"
"24.75229128921","19689","143","90","68","10","20000"
"24.7686519829722","19688","144","90","68","10","20000"
"24.7717384736132","19688","143","91","68","10","20000"
"24.7741266583982","19688","143","90","68","11","20000"
"24.7777760096889","19688","142","91","68","11","20000"
"24.8091136030284","19688","142","90","69","11","20000"
"24.8174797786107","19687","143","90","69","11","20000"
"24.826046585983","19686","144","90","69","11","20000"
"24.833890908418","19686","143","91","69","11","20000"
"24.844667606314","19686","142","92","69","11","20000"
"24.8567910203965","19686","141","93","69","11","20000"
"24.8701258762797","19686","140","94","69","11","20000"
"24.8712920628584","19685","141","94","69","11","20000"
"24.8715374261135","19685","140","95","69","11","20000"
"24.8783393340351","19684","141","95","69","11","20000"
"24.8992963812058","19683","142","95","69","11","20000"
"24.9068493849299","19682","143","95","69","11","20000"
"24.9215945308518","19682","142","96","69","11","20000"
"24.9233422163237","19681","143","96","69","11","20000"
"24.9316922073583","19680","144","96","69","11","20000"
"24.9344335007389","19679","145","96","69","11","20000"
"24.9407809052037","19679","144","97","69","11","20000"
"24.943563051855","19678","145","97","69","11","20000"
"24.9551308551143","19678","144","98","69","11","20000"
"24.9891706132608","19677","145","98","69","11","20000"
"25.0187403808982","19677","144","99","69","11","20000"
